2019.07.21 23:40:38 : format : [ios_game1:/export/jymfgame/ios_game1/net/gate/gate-4]:net_role_login:from=1:aid=1002_43501845:745209858:gender=0:level=93:prof=5:branch=2:peer_ip=117.148.65.136
2019.07.21 23:40:39 : format : [ios_game1:gs-2]:role_login:from=1:aid=1002_43501845:745209858:prof=5:level=93:fightvalue=1130401:teamid=0:leagueid=11206658:channel_id=1002:channel=ios:mac=:os=0:cashadd=586650:cash=0:bind_cash=7784:devicemodel=
2019.07.21 23:40:39 : format : [ios_game1:gs-2]:task_fail:from=1:aid=1002_43501845:745209858:prof=5:level=93:fightvalue=1130401:teamid=0:leagueid=11206658:channel_id=1002:channel=ios:mac=:os=0:cashadd=586650:cash=0:bind_cash=7784:taskid=1640:type=5
2019.07.21 23:40:39 : format : [ios_game1:gs-2]:task_fail:from=1:aid=1002_43501845:745209858:prof=5:level=93:fightvalue=1130401:teamid=0:leagueid=11206658:channel_id=1002:channel=ios:mac=:os=0:cashadd=586650:cash=0:bind_cash=7784:taskid=186:type=5
2019.07.21 23:40:39 : format : [ios_game1:gs-2]:task_fail:from=1:aid=1002_43501845:745209858:prof=5:level=93:fightvalue=1130401:teamid=0:leagueid=11206658:channel_id=1002:channel=ios:mac=:os=0:cashadd=586650:cash=0:bind_cash=7784:taskid=2166:type=5
2019.07.21 23:40:39 : format : [ios_game1:gs-2]:task_fail:from=1:aid=1002_43501845:745209858:prof=5:level=93:fightvalue=1130401:teamid=0:leagueid=11206658:channel_id=1002:channel=ios:mac=:os=0:cashadd=586650:cash=0:bind_cash=7784:taskid=2274:type=6
2019.07.21 23:42:23 : format : [ios_game1:gs-2]:gain_item:from=1:aid=1002_43501845:745209858:prof=5:level=93:fightvalue=1130401:teamid=0:leagueid=11206658:channel_id=1002:channel=ios:mac=:os=0:cashadd=586650:cash=0:bind_cash=7784:itemid=1656:itemguid=5D3487DF02038843:itemcount=1:reason=2:reasonparam=1397:reasonparam2=0
2019.07.21 23:42:23 : format : [ios_game1:gs-2]:gain_item:from=1:aid=1002_43501845:745209858:prof=5:level=93:fightvalue=1130401:teamid=0:leagueid=11206658:channel_id=1002:channel=ios:mac=:os=0:cashadd=586650:cash=0:bind_cash=7784:itemid=2159:itemguid=5D3487DF02038844:itemcount=2:reason=2:reasonparam=1397:reasonparam2=0
2019.07.21 23:42:23 : format : [ios_game1:gs-2]:task_accept:from=1:aid=1002_43501845:745209858:prof=5:level=93:fightvalue=1130401:teamid=0:leagueid=11206658:channel_id=1002:channel=ios:mac=:os=0:cashadd=586650:cash=0:bind_cash=7784:taskid=1398:type=5
2019.07.21 23:42:23 : format : [ios_game1:gs-2]:task_done:from=1:aid=1002_43501845:745209858:prof=5:level=93:fightvalue=1130401:teamid=0:leagueid=11206658:channel_id=1002:channel=ios:mac=:os=0:cashadd=586650:cash=0:bind_cash=7784:taskid=1397:type=5:vital=0:bindcash=0:money=0:exp=0:repu=0,54,25,0
2019.07.21 23:47:33 : format : [ios_game1:/export/jymfgame/ios_game1/net/db/db]:gain_bind_cash:from=1:aid=1002_43501845:745209858:prof=5:level=93:fightvalue=1130401:teamid=0:leagueid=11206658:channel_id=:channel=:mac=:os=0:cashadd=586650:typeinfo=18:offset=90:subtypeinfo=1001
2019.07.21 23:47:33 : format : [ios_game1:/export/jymfgame/ios_game1/net/db/db]:gain_item:from=1:aid=1002_43501845:745209858:prof=5:level=93:fightvalue=1130401:teamid=0:leagueid=11206658:channel_id=:channel=:mac=:os=0:cashadd=586650:itemid=1890:itemguid=0:itemcount=30:reason=19:reasonparam=139857020060649
2019.07.21 23:50:36 : format : [ios_game1:/export/jymfgame/ios_game1/net/gate/gate-4]:net_role_logout:from=1:aid=1002_43501845:745209858:uclientsid=1331:time=598
2019.07.21 23:50:38 : format : [ios_game1:gs-2]:role_logout:from=1:aid=1002_43501845:745209858:prof=5:level=93:fightvalue=1130401:teamid=0:leagueid=11206658:channel_id=1002:channel=ios:mac=:os=0:cashadd=586650:cash=0:bind_cash=7784:time=600:devicemode=
2019.07.21 23:51:45 : format : [ios_game1:/export/jymfgame/ios_game1/net/gate/gate-6]:net_role_login:from=1:aid=1002_43501845:745209858:gender=0:level=93:prof=5:branch=2:peer_ip=117.148.65.136
2019.07.21 23:51:46 : format : [ios_game1:gs-2]:role_login:from=1:aid=1002_43501845:745209858:prof=5:level=93:fightvalue=1130401:teamid=0:leagueid=11206658:channel_id=1002:channel=ios:mac=:os=0:cashadd=586650:cash=0:bind_cash=7874:devicemodel=
2019.07.21 23:58:57 : format : [ios_game1:gs-2]:role_logout:from=1:aid=1002_43501845:745209858:prof=5:level=93:fightvalue=1130401:teamid=0:leagueid=11206658:channel_id=1002:channel=ios:mac=:os=0:cashadd=586650:cash=0:bind_cash=7874:time=432:devicemode=
2019.07.21 23:58:57 : format : [ios_game1:/export/jymfgame/ios_game1/net/gate/gate-6]:net_role_logout:from=1:aid=1002_43501845:745209858:uclientsid=1318:time=432
